category,image_auroc,image_f1,pixel_f1,region_f1,pixel_auroc,pro_auroc,latency_ms_mean,latency_ms_std,fps,throughput_samples_per_sec,throughput_total_samples,throughput_total_time_sec,gpu_peak_reserved_bytes,gpu_peak_reserved_bytes_std,params_total,params_trainable,flops,vram_peak_bytes
candle,0.6007,0.6735,0.0732,0.0000,0.8457,0.7749,38.316 ms,3.495 ms,26.10,68.5870,15384.0000,224.2992,570425344.0000,0.0000,"208,377,345","208,377,345",N/A,0.503 GB
capsules,0.4175,0.7692,0.0129,0.0069,0.5523,0.2082,38.978 ms,4.403 ms,25.66,65.9357,16000.0000,242.6606,574619648.0000,0.0000,"208,377,345","208,377,345",N/A,0.502 GB
cashew,0.8530,0.8700,0.1025,0.0528,0.8573,0.7879,38.743 ms,3.477 ms,25.81,63.8360,15000.0000,234.9773,578813952.0000,0.0000,"208,377,345","208,377,345",N/A,0.502 GB
chewinggum,0.6942,0.8000,0.2096,0.0220,0.8582,0.4801,38.787 ms,4.155 ms,25.78,64.6255,15000.0000,232.1066,583008256.0000,0.0000,"208,377,345","208,377,345",N/A,0.502 GB
fryum,0.5156,0.8000,0.1705,0.0161,0.7423,0.4212,38.759 ms,3.745 ms,25.80,64.9470,15000.0000,230.9577,574619648.0000,0.0000,"208,377,345","208,377,345",N/A,0.502 GB
macaroni1,0.4825,0.6689,0.0445,0.0000,0.7722,0.2379,38.730 ms,3.584 ms,25.82,68.2032,15384.0000,225.5612,599785472.0000,0.0000,"208,377,345","208,377,345",N/A,0.501 GB
macaroni2,0.5127,0.6689,0.0074,0.0000,0.5463,0.1031,38.846 ms,3.583 ms,25.74,68.1878,15384.0000,225.6120,582995648.0000,397707.6250,"208,377,345","208,377,345",N/A,0.502 GB
pcb1,0.5751,0.6803,0.0166,0.0038,0.4485,0.1696,38.414 ms,3.337 ms,26.03,68.1286,15384.0000,225.8083,587189952.0000,397707.6250,"208,377,345","208,377,345",N/A,0.501 GB
pcb2,0.4217,0.6667,0.0156,0.0035,0.7061,0.3224,38.650 ms,3.971 ms,25.87,67.9861,15384.0000,226.2816,591384256.0000,397707.6250,"208,377,345","208,377,345",N/A,0.501 GB
pcb3,0.5896,0.6712,0.0155,0.0045,0.6548,0.2329,38.840 ms,3.403 ms,25.75,68.4003,15461.0000,226.0369,595591168.0000,0.0000,"208,377,345","208,377,345",N/A,0.501 GB
pcb4,0.6380,0.6667,0.0881,0.0076,0.8184,0.5333,38.565 ms,2.160 ms,25.93,68.0369,15461.0000,227.2442,587202560.0000,0.0000,"208,377,345","208,377,345",N/A,0.500 GB
pipe_fryum,0.6936,0.8133,0.1733,0.0107,0.8881,0.7548,38.431 ms,1.784 ms,26.02,64.9575,15000.0000,230.9201,578813952.0000,0.0000,"208,377,345","208,377,345",N/A,0.502 GB
